all_eta_bins : [0.0, 0.2, 0.4, 0.6, 0.8, 1.0, 1.25, 1.5, 1.75, 2.0, 2.1, 2.2, 2.3, 2.4]
all_pT_bins  : [5.0, 7.0, 10.0, 14.0, 20.0, 27.0, 38.0, 50.0, 75.0, 100.0, 150.0, 200.0, 1000]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
Jpsi   , 8 , 10, 2006      , 	[0.4, 0.6],		[14.0, 20.0],		[-0.011206627823412418, -0.0018843868747353554, -0.0010860409820452332, -0.0005096971290186048, -1.032467480399646e-05, 0.0005090212798677385, 0.001070974161848426, 0.0018705683760344984, 0.014021099545061588]
DY+Jpsi, 10, 10, 15234     , 	[0.4, 0.6],		[14.0, 20.0],		[-0.014148494228720665, -0.0020875437185168266, -0.0013338433345779777, -0.0008381850202567875, -0.00042057703831233084, -3.395134990569204e-05, 0.0003527104272507131, 0.0007688322803005576, 0.0012688671704381704, 0.00202189851552248, 0.014262729324400425]
DY     , 10, 10, 41378     , 	[0.4, 0.6],		[20.0, 27.0],		[-0.014904554933309555, -0.001923288218677044, -0.0012381239794194698, -0.00076994055416435, -0.00037720947875641286, -2.1355965145630762e-05, 0.0003402647271286696, 0.0007294226670637727, 0.0011965181911364198, 0.001876522321254015, 0.01498096901923418]
Jpsi   , 2 , 10, 2150      , 	[0.4, 0.6],		[20.0, 27.0],		[-0.0087007200345397, 1.1426141099946108e-05, 0.0069750864058732995]
DY+Jpsi, 10, 10, 41808     , 	[0.4, 0.6],		[20.0, 27.0],		[-0.014904554933309555, -0.0019229138270020485, -0.0012378772953525186, -0.000769604928791523, -0.00037689789314754307, -2.0967816453776322e-05, 0.0003405048046261072, 0.0007296606199815869, 0.0011966396123170853, 0.0018767473520711064, 0.01498096901923418]
DY     , 10, 10, 135083    , 	[0.4, 0.6],		[27.0, 38.0],		[-0.014871327206492424, -0.0017964006401598454, -0.001160065527074039, -0.0007233367068693042, -0.0003584953083191067, -1.8423033907311037e-05, 0.00032258525607176125, 0.000688603613525629, 0.0011240149615332484, 0.0017567543545737863, 0.014833174645900726]
Jpsi   , 2 , 10, 735       , 	[0.4, 0.6],		[27.0, 38.0],		[-0.005301760043948889, 2.851105273293797e-05, 0.009058335795998572]
DY+Jpsi, 10, 10, 135230    , 	[0.4, 0.6],		[27.0, 38.0],		[-0.014871327206492424, -0.0017963892314583063, -0.0011600564466789365, -0.0007232481730170548, -0.0003584421647246927, -1.8348429875914007e-05, 0.00032262931927107275, 0.0006886631017550826, 0.001124079106375575, 0.0017569640185683966, 0.014833174645900726]
DY     , 10, 10, 180253    , 	[0.4, 0.6],		[38.0, 50.0],		[-0.014857066795229912, -0.0016965382965281606, -0.0010896003805100918, -0.0006716779316775501, -0.00031937041785568, 6.749429303454235e-06, 0.0003338521928526461, 0.0006853214581497014, 0.0011042447295039892, 0.00171139114536345, 0.014290482737123966]
Jpsi   , 2 , 10, 153       , 	[0.4, 0.6],		[38.0, 50.0],		[-0.003952384926378727, 5.250327376415953e-05, 0.005151005927473307]
DY+Jpsi, 10, 10, 180284    , 	[0.4, 0.6],		[38.0, 50.0],		[-0.014857066795229912, -0.0016965126851573586, -0.0010895812883973122, -0.000671655812766403, -0.00031935161678120494, 6.759019925084431e-06, 0.00033388170413672924, 0.0006853321101516485, 0.0011042432161048055, 0.001711402554064989, 0.014290482737123966]
DY     , 10, 10, 73251     , 	[0.4, 0.6],		[50.0, 75.0],		[-0.014272288419306278, -0.0016173898475244641, -0.0010353506077080965, -0.0006284760893322527, -0.0002883403794839978, 2.7249609047430567e-05, 0.0003413835074752569, 0.0006822941359132528, 0.0010905222734436393, 0.0016743228770792484, 0.014281384646892548]
Jpsi   , 2 , 10, 53        , 	[0.4, 0.6],		[50.0, 75.0],		[-0.004004579968750478, 0.00014649571676272902, 0.0030386277940124273]
DY+Jpsi, 10, 10, 73262     , 	[0.4, 0.6],		[50.0, 75.0],		[-0.014272288419306278, -0.0016173893818631768, -0.0010353635298088193, -0.0006284789997152984, -0.0002883359557017684, 2.7280828362563625e-05, 0.0003414152888581157, 0.0006822941359132528, 0.0010905247181653976, 0.0016743242740631104, 0.014281384646892548]
DY     , 10, 10, 14716     , 	[0.4, 0.6],		[75.0, 100.0],		[-0.014436623081564903, -0.00158315512817353, -0.0010246899910271168, -0.0006245989934541285, -0.00028956792084500194, 2.2669330064672977e-05, 0.0003342679119668901, 0.000666454725433141, 0.0010612414916977286, 0.0016371443634852767, 0.011442111805081367]
Jpsi   , 2 , 10, 7         , 	[0.4, 0.6],		[75.0, 100.0],		[-0.0018153203418478372, -2.4905579266487617e-05, 0.0009319439996033908]
