all_eta_bins : [0.0, 0.2, 0.4, 0.6, 0.8, 1.0, 1.25, 1.5, 1.75, 2.0, 2.1, 2.2, 2.3, 2.4]
all_pT_bins  : [5.0, 7.0, 10.0, 14.0, 20.0, 27.0, 38.0, 50.0, 75.0, 100.0, 150.0, 200.0, 1000]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 10, 10, 100612    , 	[1.75, 2.0],		[27.0, 38.0],		[-0.014961684122681618, -0.001952424761839211, -0.0012329107848927379, -0.000759890244808048, -0.000373308575944975, -1.6542317098355852e-05, 0.0003383008297532797, 0.0007221874548122287, 0.0011915953364223242, 0.0019006677903234959, 0.014188775792717934]
Jpsi   , 2 , 10, 684       , 	[1.75, 2.0],		[27.0, 38.0],		[-0.009323340840637684, 2.4125220079440624e-05, 0.007997124455869198]
DY+Jpsi, 10, 10, 100749    , 	[1.75, 2.0],		[27.0, 38.0],		[-0.014961684122681618, -0.0019521680660545826, -0.0012328209122642875, -0.0007597373332828283, -0.0003732535697054118, -1.649389014346525e-05, 0.0003383886069059372, 0.0007222263375297189, 0.0011915953364223242, 0.001900566159747541, 0.014188775792717934]
DY     , 10, 10, 140823    , 	[1.75, 2.0],		[38.0, 50.0],		[-0.014309871010482311, -0.0017938482342287898, -0.0011365568498149514, -0.0006947300862520933, -0.00033150205854326487, 5.421405148808844e-06, 0.0003398608532734215, 0.000703076075296849, 0.0011419777292758226, 0.0017980578122660518, 0.014842852018773556]
Jpsi   , 2 , 10, 123       , 	[1.75, 2.0],		[38.0, 50.0],		[-0.005808540619909763, -9.561649494571613e-05, 0.005815494805574417]
DY+Jpsi, 10, 10, 140848    , 	[1.75, 2.0],		[38.0, 50.0],		[-0.014309871010482311, -0.0017938677920028567, -0.0011365788523107767, -0.0006947582587599754, -0.00033151789102703333, 5.418036835180828e-06, 0.0003398651024326682, 0.0007030766573734581, 0.0011419771471992135, 0.0017980822594836354, 0.014842852018773556]
DY     , 10, 10, 57233     , 	[1.75, 2.0],		[50.0, 75.0],		[-0.014076005667448044, -0.0016559450887143612, -0.0010445420630276203, -0.000630454916972667, -0.0002848725998774171, 3.656232729554176e-05, 0.0003540456818882376, 0.0007036433671601117, 0.0011250268435105681, 0.001750911003910005, 0.012236764654517174]
Jpsi   , 2 , 10, 37        , 	[1.75, 2.0],		[50.0, 75.0],		[-0.002824522089213133, 2.2251902919379066e-05, 0.003165132831782102]
DY+Jpsi, 10, 10, 57241     , 	[1.75, 2.0],		[50.0, 75.0],		[-0.014076005667448044, -0.0016558871138840914, -0.0010444991057738662, -0.0006304238922894001, -0.0002848725998774171, 3.6556859413394704e-05, 0.00035401861532591283, 0.0007036433671601117, 0.0011250446550548077, 0.001750924508087337, 0.012236764654517174]
DY     , 10, 10, 10574     , 	[1.75, 2.0],		[75.0, 100.0],		[-0.007466423790901899, -0.0015634942101314664, -0.000996396061964333, -0.0006033984827809036, -0.0002759008202701807, 3.088940866291523e-05, 0.0003363977011758834, 0.0006685179541818798, 0.0010708571644499898, 0.001652614795602858, 0.008975247852504253]
Jpsi   , 2 , 10, 6         , 	[1.75, 2.0],		[75.0, 100.0],		[-0.0018274604808539152, 0.00037209806032478815, 0.0031290354672819376]
DY+Jpsi, 10, 10, 10575     , 	[1.75, 2.0],		[75.0, 100.0],		[-0.007466423790901899, -0.0015634942101314664, -0.0009963539196178317, -0.000603382708504796, -0.0002759055932983756, 3.088940866291523e-05, 0.00033640567562542856, 0.0006685179541818798, 0.0010708641493692994, 0.0016527185216546059, 0.008975247852504253]
DY     , 10, 10, 4428      , 	[1.75, 2.0],		[100.0, 150.0],		[-0.006243464536964893, -0.001501045422628522, -0.0009484378970228136, -0.0005674864514730871, -0.00024196413869503886, 5.092584979138337e-05, 0.0003516282595228404, 0.0006666058907285333, 0.0010566277196630836, 0.0016141976229846478, 0.007295161951333284]
Jpsi   , 2 , 10, 1         , 	[1.75, 2.0],		[100.0, 150.0],		[-0.0022932603023946515, -0.0022932603023946285, 0.0002517487737350166]
DY+Jpsi, 10, 10, 4428      , 	[1.75, 2.0],		[100.0, 150.0],		[-0.006243464536964893, -0.0015014527598395944, -0.0009486612398177385, -0.0005674864514730871, -0.00024190371914301068, 5.095227243145928e-05, 0.0003516282595228404, 0.0006666058907285333, 0.0010566277196630836, 0.0016141976229846478, 0.007295161951333284]
DY     , 4 , 10, 2005      , 	[1.75, 2.0],		[150.0, 200.0],		[-0.005739595741033554, -0.0007138680666685104, 7.996314525371417e-05, 0.0008629582589492202, 0.005631767213344574]
Jpsi   , -1, 10, 0         , 	[1.75, 2.0],		[150.0, 200.0],		[None, None]
DY+Jpsi, 4 , 10, 2005      , 	[1.75, 2.0],		[150.0, 200.0],		[-0.005739595741033554, -0.0007138680666685104, 7.996314525371417e-05, 0.0008629582589492202, 0.005631767213344574]
DY     , 2 , 10, 1777      , 	[1.75, 2.0],		[200.0, 1000],		[-0.0044367071241140366, 0.00016318837879225612, 0.006449858192354441]
Jpsi   , -1, 10, 0         , 	[1.75, 2.0],		[200.0, 1000],		[None, None]
DY+Jpsi, 2 , 10, 1777      , 	[1.75, 2.0],		[200.0, 1000],		[-0.0044367071241140366, 0.00016318837879225612, 0.006449858192354441]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 2 , 10, 2886      , 	[2.0, 2.1],		[5.0, 7.0],		[-0.014758641831576824, -3.067390207434073e-05, 0.01428159698843956]
Jpsi   , 10, 10, 2857      , 	[2.0, 2.1],		[5.0, 7.0],		[-0.014759168028831482, -0.003833629656583071, -0.0023146264720708127, -0.0013838661834597588, -0.0006162828649394214, 4.439573604031466e-05, 0.0007107135024853051, 0.0014520289842039347, 0.0023720788303762674, 0.003845819272100925, 0.01463943347334862]
DY+Jpsi, 10, 10, 3434      , 	[2.0, 2.1],		[5.0, 7.0],		[-0.014759168028831482, -0.003832031972706318, -0.002325280336663127, -0.0013909927802160382, -0.0006324059213511647, 3.4490858524804935e-05, 0.0007073445012792945, 0.001438423409126699, 0.002359704347327352, 0.0038478088099509478, 0.01463943347334862]
DY     , 8 , 10, 2099      , 	[2.0, 2.1],		[7.0, 10.0],		[-0.01416944619268179, -0.002777516609057784, -0.0015048686182126403, -0.0006997142918407917, -3.394624582142569e-05, 0.000675682385917753, 0.0015033850213512778, 0.002780200680717826, 0.014931850135326385]
Jpsi   , 10, 10, 2313      , 	[2.0, 2.1],		[7.0, 10.0],		[-0.014786658808588982, -0.003224953543394804, -0.0019281053682789207, -0.0011300202459096909, -0.0004925698740407826, 5.409138611867093e-05, 0.0006143638747744262, 0.0012155193835496902, 0.0020167005714029074, 0.0033495330717414613, 0.014186489395797253]
DY+Jpsi, 10, 10, 3992      , 	[2.0, 2.1],		[7.0, 10.0],		[-0.014786658808588982, -0.0032151679042726755, -0.00192823086399585, -0.0011402254458516836, -0.0005225365166552365, 1.5227796211547684e-05, 0.0005820344085805118, 0.0011863685213029385, 0.001979939406737685, 0.003277059644460678, 0.014931850135326385]
DY     , 10, 10, 4033      , 	[2.0, 2.1],		[10.0, 14.0],		[-0.013074425980448723, -0.002781574847176671, -0.0016869953833520412, -0.0010387372458353639, -0.0004947427078150213, -1.143518602475524e-05, 0.00047636625822633505, 0.00100739358458668, 0.0016969809075817466, 0.0028268746100366116, 0.01455895695835352]
Jpsi   , 6 , 10, 2193      , 	[2.0, 2.1],		[10.0, 14.0],		[-0.013954314403235912, -0.0019599702209234238, -0.0007915530586615205, 3.910344821633771e-05, 0.0009003820014186203, 0.0021425436716526747, 0.013654316775500773]
DY+Jpsi, 10, 10, 5349      , 	[2.0, 2.1],		[10.0, 14.0],		[-0.013954314403235912, -0.0027725333347916603, -0.0016777021810412407, -0.0010230370098724961, -0.00048517261166125536, 2.30214072871604e-06, 0.0004943361273035407, 0.001025484292767942, 0.0017323471838608384, 0.002862276043742895, 0.01455895695835352]
DY     , 10, 10, 9647      , 	[2.0, 2.1],		[14.0, 20.0],		[-0.01379008125513792, -0.002479814924299717, -0.0015300450613722205, -0.0009360752301290631, -0.0004622311389539391, -1.8552824258222245e-05, 0.00041098269866779447, 0.0008841861854307353, 0.0014781622448936105, 0.0024227602407336235, 0.014723616652190685]
Jpsi   , 2 , 10, 2815      , 	[2.0, 2.1],		[14.0, 20.0],		[-0.00956560205668211, 3.4122665965696804e-05, 0.01158237922936678]
DY+Jpsi, 10, 10, 10210     , 	[2.0, 2.1],		[14.0, 20.0],		[-0.01379008125513792, -0.002478815382346511, -0.001529484405182302, -0.0009339393582195044, -0.0004607092123478651, -1.542928657727316e-05, 0.00041376217268407345, 0.0008874487248249352, 0.0014868576545268297, 0.002429528394713998, 0.014723616652190685]
DY     , 10, 10, 16476     , 	[2.0, 2.1],		[20.0, 27.0],		[-0.013153032399713993, -0.002239692723378539, -0.0013914606533944607, -0.0008591153891757131, -0.0004222181742079556, -2.938032048405148e-05, 0.00036871989141218364, 0.0008043371490202844, 0.0013406411744654179, 0.0021872841753065586, 0.0132134472951293]
Jpsi   , 2 , 10, 722       , 	[2.0, 2.1],		[20.0, 27.0],		[-0.009006410837173462, 2.488239806552883e-05, 0.008251000195741653]
DY+Jpsi, 10, 10, 16620     , 	[2.0, 2.1],		[20.0, 27.0],		[-0.013153032399713993, -0.002238271292299032, -0.001390718505717814, -0.0008587336633354425, -0.00042159046279266477, -2.865746500901878e-05, 0.0003690624434966594, 0.0008051461772993207, 0.0013415043940767646, 0.0021878592669963837, 0.0132134472951293]
DY     , 10, 10, 37339     , 	[2.0, 2.1],		[27.0, 38.0],		[-0.01251034066081047, -0.0020700490567833185, -0.0013017599703744054, -0.0008068660972639918, -0.0004045505775138736, -3.415614628465846e-05, 0.000334398471750319, 0.0007361336029134691, 0.001224556821398437, 0.0019667106680572033, 0.013570043258368969]
Jpsi   , 2 , 10, 245       , 	[2.0, 2.1],		[27.0, 38.0],		[-0.0060855080373585215, -7.63903371989727e-05, 0.0056012156419456005]
DY+Jpsi, 10, 10, 37388     , 	[2.0, 2.1],		[27.0, 38.0],		[-0.01251034066081047, -0.002070044167339802, -0.0013018643949180841, -0.0008068999159149826, -0.00040460925083607435, -3.416074105189182e-05, 0.0003344252472743392, 0.0007362812175415456, 0.0012246061814948916, 0.001967040356248617, 0.013570043258368969]
DY     , 10, 10, 49373     , 	[2.0, 2.1],		[38.0, 50.0],		[-0.013790003024041653, -0.001868065563030541, -0.001178853097371757, -0.0007234804797917604, -0.0003469530784059316, 2.75775300906389e-06, 0.00035082350950688124, 0.000727306876797229, 0.001186068169772625, 0.001880105584859848, 0.013574428856372833]
Jpsi   , 2 , 10, 43        , 	[2.0, 2.1],		[38.0, 50.0],		[-0.0034203135874122377, -0.00017195129476021975, 0.0032150151673704386]
DY+Jpsi, 10, 10, 49382     , 	[2.0, 2.1],		[38.0, 50.0],		[-0.013790003024041653, -0.0018680451903492212, -0.0011788257397711277, -0.0007234804797917604, -0.000347018736647442, 2.7150119876750978e-06, 0.00035078724613413215, 0.0007272755028679967, 0.0011860192753374577, 0.0018800928955897689, 0.013574428856372833]
DY     , 10, 10, 20019     , 	[2.0, 2.1],		[50.0, 75.0],		[-0.01374910119920969, -0.0017071128822863102, -0.0010609050514176488, -0.0006265198462642729, -0.00027499854331836104, 5.734591468353756e-05, 0.0003885611949954182, 0.0007484349189326167, 0.0011887728469446301, 0.0018506719497963786, 0.009936781600117683]
Jpsi   , 2 , 10, 13        , 	[2.0, 2.1],		[50.0, 75.0],		[-0.0019881492480635643, -0.000114286616735626, 0.0023055451456457376]
DY+Jpsi, 10, 10, 20022     , 	[2.0, 2.1],		[50.0, 75.0],		[-0.01374910119920969, -0.0017070622416213155, -0.0010608760640025139, -0.0006265198462642729, -0.0002749967679847032, 5.734526348533109e-05, 0.00038847821997478604, 0.000748332473449409, 0.0011887185974046588, 0.0018505982588976622, 0.009936781600117683]
DY     , 10, 10, 3658      , 	[2.0, 2.1],		[75.0, 100.0],		[-0.007855463773012161, -0.0016163208056241274, -0.001013437518849969, -0.0006132101989351213, -0.00027701101498678327, 4.4176460505696014e-05, 0.00036168249789625406, 0.0006905833724886179, 0.0010983275715261698, 0.0017156918765977025, 0.01318648923188448]
Jpsi   , 2 , 10, 2         , 	[2.0, 2.1],		[75.0, 100.0],		[0.00032955329515971243, 0.0005627853679470718, 0.002328315516933799]
DY+Jpsi, 10, 10, 3659      , 	[2.0, 2.1],		[75.0, 100.0],		[-0.007855463773012161, -0.0016163060208782554, -0.00101339106913656, -0.0006132040289230645, -0.0002769720449578017, 4.429709224496037e-05, 0.00036168249789625406, 0.0006905482150614262, 0.0010980888037011027, 0.0017156918765977025, 0.01318648923188448]
DY     , 7 , 10, 2161      , 	[2.0, 2.1],		[100.0, 150.0],		[-0.006288109812885523, -0.0012674885801970959, -0.0006377536337822676, -0.0001736476697260514, 0.0002745805832091719, 0.0007619762909598649, 0.0014080348191782832, 0.00836204644292593]
Jpsi   , -1, 10, 0         , 	[2.0, 2.1],		[100.0, 150.0],		[None, None]
DY+Jpsi, 7 , 10, 2161      , 	[2.0, 2.1],		[100.0, 150.0],		[-0.006288109812885523, -0.0012674885801970959, -0.0006377536337822676, -0.0001736476697260514, 0.0002745805832091719, 0.0007619762909598649, 0.0014080348191782832, 0.00836204644292593]
DY     , 2 , 10, 1356      , 	[2.0, 2.1],		[150.0, 200.0],		[-0.005727456416934729, 4.208824975648895e-05, 0.006055082660168409]
Jpsi   , -1, 10, 0         , 	[2.0, 2.1],		[150.0, 200.0],		[None, None]
DY+Jpsi, 2 , 10, 1356      , 	[2.0, 2.1],		[150.0, 200.0],		[-0.005727456416934729, 4.208824975648895e-05, 0.006055082660168409]
DY     , 2 , 10, 547       , 	[2.0, 2.1],		[200.0, 1000],		[-0.0035397878382354975, 0.00021848775213584304, 0.007302535697817802]
Jpsi   , -1, 10, 0         , 	[2.0, 2.1],		[200.0, 1000],		[None, None]
DY+Jpsi, 2 , 10, 547       , 	[2.0, 2.1],		[200.0, 1000],		[-0.0035397878382354975, 0.00021848775213584304, 0.007302535697817802]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 3 , 10, 2036      , 	[2.1, 2.2],		[5.0, 7.0],		[-0.014355180785059929, -0.0011949108447879553, 0.001125280512496829, 0.013223586603999138]
Jpsi   , 10, 10, 2466      , 	[2.1, 2.2],		[5.0, 7.0],		[-0.014955210499465466, -0.003918508533388375, -0.002402746817097068, -0.0014478387311100962, -0.0006572862039320171, 7.638202077941969e-06, 0.0007100519724190235, 0.0014486414147540927, 0.002419386524707079, 0.0039637191221117965, 0.014724832959473131]
DY+Jpsi, 10, 10, 3077      , 	[2.1, 2.2],		[5.0, 7.0],		[-0.014955210499465466, -0.003909579012542963, -0.0023990957997739315, -0.0014471984468400478, -0.0006620095227845013, -2.358430492677144e-06, 0.000698999036103487, 0.0014351734425872564, 0.002390990266576409, 0.003923730459064245, 0.014724832959473131]
DY     , 8 , 10, 2129      , 	[2.1, 2.2],		[7.0, 10.0],		[-0.013877957127988338, -0.002937971381470561, -0.0016256705857813358, -0.0007632959168404341, -4.058510239701718e-05, 0.0006643206579610705, 0.0014802833320572972, 0.002836080500856042, 0.014528623782098293]
Jpsi   , 9 , 10, 2162      , 	[2.1, 2.2],		[7.0, 10.0],		[-0.014652051962912084, -0.0031127261463552713, -0.001790713518857956, -0.0009545991779305039, -0.0002591613738331944, 0.0003656204207800329, 0.0010558879002928734, 0.0018810154870152476, 0.003189827548339963, 0.014906916767358782]
DY+Jpsi, 10, 10, 3650      , 	[2.1, 2.2],		[7.0, 10.0],		[-0.014652051962912084, -0.0033412224147468805, -0.0020206538029015064, -0.0012176845921203494, -0.0005707815871573986, 1.0532307896937711e-05, 0.0005761110805906355, 0.0012041921727359295, 0.0020085268188267946, 0.0033369010780006647, 0.014906916767358782]
DY     , 10, 10, 4034      , 	[2.1, 2.2],		[10.0, 14.0],		[-0.014766689389944077, -0.0028858811128884554, -0.001765608903951943, -0.0010785633930936456, -0.0005287535605020821, -3.269384615123272e-05, 0.0004516413318924606, 0.000994289293885231, 0.001666345284320414, 0.0027777389623224735, 0.014965024776756763]
Jpsi   , 5 , 10, 2147      , 	[2.1, 2.2],		[10.0, 14.0],		[-0.012771316803991795, -0.0017361758509650824, -0.00047213371726684267, 0.0005380930961109698, 0.0018630775157362227, 0.012032568454742432]
DY+Jpsi, 10, 10, 5108      , 	[2.1, 2.2],		[10.0, 14.0],		[-0.014766689389944077, -0.002876982092857361, -0.0017570969648659231, -0.0010671761119738221, -0.0005177930579520762, -1.6187390428967774e-05, 0.00046954990830272436, 0.0010203314013779163, 0.0017077283700928092, 0.002811810933053493, 0.014965024776756763]
DY     , 10, 10, 9411      , 	[2.1, 2.2],		[14.0, 20.0],		[-0.014669885858893394, -0.002574067795649171, -0.0016032924177125096, -0.0009853554656729102, -0.0004946243134327233, -5.2754799980903044e-05, 0.00038513162871822715, 0.0008605194161646068, 0.0014626370975747705, 0.002420382108539343, 0.01251670066267252]
Jpsi   , 2 , 10, 2340      , 	[2.1, 2.2],		[14.0, 20.0],		[-0.010376845486462116, -2.109723453713741e-07, 0.009191452525556087]
DY+Jpsi, 10, 10, 9879      , 	[2.1, 2.2],		[14.0, 20.0],		[-0.014669885858893394, -0.0025774622336030006, -0.001603520940989256, -0.0009823273867368698, -0.0004919813945889473, -5.025635255151428e-05, 0.0003902036987710744, 0.0008650242816656828, 0.001469865906983614, 0.0024335712660104036, 0.01251670066267252]
DY     , 10, 10, 15952     , 	[2.1, 2.2],		[20.0, 27.0],		[-0.012630810961127281, -0.0023238370195031166, -0.0014472578186541796, -0.0008930748444981873, -0.000446828780695796, -4.5327236875891685e-05, 0.00035712754470296204, 0.0007954505854286253, 0.0013416935689747334, 0.0021869600750505924, 0.013861287385225296]
Jpsi   , 2 , 10, 672       , 	[2.1, 2.2],		[20.0, 27.0],		[-0.00728656817227602, 5.199630322749727e-05, 0.007215958554297686]
DY+Jpsi, 10, 10, 16087     , 	[2.1, 2.2],		[20.0, 27.0],		[-0.012630810961127281, -0.0023221715819090605, -0.0014463724801316855, -0.0008919185493141413, -0.0004456617753021419, -4.4248849007999524e-05, 0.00035798666067421436, 0.0007965925615280867, 0.0013432721607387066, 0.0021898653358221054, 0.013861287385225296]
DY     , 10, 10, 35611     , 	[2.1, 2.2],		[27.0, 38.0],		[-0.01172469463199377, -0.002133607165887952, -0.0013505247188732028, -0.0008400866645388305, -0.0004316856211517006, -5.465084541356191e-05, 0.000317285128403455, 0.0007189879543147981, 0.001214301330037415, 0.00197390909306705, 0.013473046943545341]
Jpsi   , 2 , 10, 202       , 	[2.1, 2.2],		[27.0, 38.0],		[-0.00462449761107564, -6.0324400692479685e-05, 0.006683424580842257]
DY+Jpsi, 10, 10, 35651     , 	[2.1, 2.2],		[27.0, 38.0],		[-0.01172469463199377, -0.0021333983168005943, -0.0013504833914339542, -0.0008400475489906967, -0.0004316333506722003, -5.4652315156999975e-05, 0.0003172920551151037, 0.0007190408068709075, 0.0012142453342676163, 0.001973853213712573, 0.013473046943545341]
DY     , 10, 10, 45105     , 	[2.1, 2.2],		[38.0, 50.0],		[-0.014497896656394005, -0.0019237034721300006, -0.001216032193042338, -0.0007517652120441198, -0.0003668831195682287, -1.1158871529914904e-05, 0.000347522203810513, 0.0007313137757591903, 0.0011969751212745905, 0.0019130534492433071, 0.014870702289044857]
Jpsi   , 2 , 10, 37        , 	[2.1, 2.2],		[38.0, 50.0],		[-0.0035252848174422975, 1.2336256531852996e-06, 0.0040769632905721664]
DY+Jpsi, 10, 10, 45112     , 	[2.1, 2.2],		[38.0, 50.0],		[-0.014497896656394005, -0.0019237700616940856, -0.0012160682817921042, -0.0007517652120441198, -0.00036686353269033134, -1.1138666195620317e-05, 0.0003475216217339039, 0.0007313269888982177, 0.0011969436891376972, 0.001913060899823904, 0.014870702289044857]
DY     , 10, 10, 18349     , 	[2.1, 2.2],		[50.0, 75.0],		[-0.009206578135490417, -0.0017378993798047304, -0.0010913918958976865, -0.0006495769484899938, -0.00028803691384382546, 4.968343273503706e-05, 0.0003926599456463009, 0.0007607558509334922, 0.0012162723578512669, 0.0019099537748843431, 0.013721817173063755]
Jpsi   , 2 , 10, 12        , 	[2.1, 2.2],		[50.0, 75.0],		[-0.0034988748375326395, -0.00025529073900543153, 0.002800733083859086]
DY+Jpsi, 10, 10, 18352     , 	[2.1, 2.2],		[50.0, 75.0],		[-0.009206578135490417, -0.0017378993798047304, -0.0010913670994341373, -0.0006495529669336975, -0.00028803691384382546, 4.966600681655109e-05, 0.0003926520876120776, 0.0007607359439134598, 0.001216268283315003, 0.001909687533043325, 0.013721817173063755]
DY     , 10, 10, 3317      , 	[2.1, 2.2],		[75.0, 100.0],		[-0.007562905550003052, -0.0016407324001193047, -0.0010337356943637133, -0.0006152686546556652, -0.00026733847334980965, 6.029009091435e-05, 0.00038052082527428865, 0.0007341021555475891, 0.0011647427454590797, 0.0018060080474242568, 0.01400270126760006]
Jpsi   , 2 , 10, 2         , 	[2.1, 2.2],		[75.0, 100.0],		[-0.0013312730006873608, -0.0002778058988042176, 0.002598877996206284]
DY+Jpsi, 10, 10, 3317      , 	[2.1, 2.2],		[75.0, 100.0],		[-0.007562905550003052, -0.0016407324001193047, -0.0010341586312279105, -0.0006152757559902966, -0.0002674293064046651, 6.0235088312765583e-05, 0.0003803212021011859, 0.0007335598347708583, 0.0011646432103589177, 0.0018060080474242568, 0.01400270126760006]
DY     , 6 , 10, 2264      , 	[2.1, 2.2],		[100.0, 150.0],		[-0.006188590545207262, -0.0011784371454268694, -0.0004930277937091887, 6.320647662505507e-05, 0.0006217591580934823, 0.001359362038783729, 0.008831924758851528]
Jpsi   , -1, 10, 0         , 	[2.1, 2.2],		[100.0, 150.0],		[None, None]
DY+Jpsi, 6 , 10, 2264      , 	[2.1, 2.2],		[100.0, 150.0],		[-0.006188590545207262, -0.0011784371454268694, -0.0004930277937091887, 6.320647662505507e-05, 0.0006217591580934823, 0.001359362038783729, 0.008831924758851528]
DY     , 2 , 10, 1170      , 	[2.1, 2.2],		[150.0, 200.0],		[-0.005496731959283352, 0.00017114698130171746, 0.005164653528481722]
Jpsi   , -1, 10, 0         , 	[2.1, 2.2],		[150.0, 200.0],		[None, None]
DY+Jpsi, 2 , 10, 1170      , 	[2.1, 2.2],		[150.0, 200.0],		[-0.005496731959283352, 0.00017114698130171746, 0.005164653528481722]
DY     , 2 , 10, 479       , 	[2.1, 2.2],		[200.0, 1000],		[-0.005296958144754171, 0.00024293523165397346, 0.005038782488554716]
Jpsi   , -1, 10, 0         , 	[2.1, 2.2],		[200.0, 1000],		[None, None]
DY+Jpsi, 2 , 10, 479       , 	[2.1, 2.2],		[200.0, 1000],		[-0.005296958144754171, 0.00024293523165397346, 0.005038782488554716]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 3 , 10, 2224      , 	[2.2, 2.3],		[5.0, 7.0],		[-0.013939334079623222, -0.0012702193344011903, 0.001205509644933045, 0.014954718761146069]
Jpsi   , 10, 10, 2074      , 	[2.2, 2.3],		[5.0, 7.0],		[-0.014644089154899119, -0.00398297654464841, -0.002413127571344376, -0.0014529345789924266, -0.0006833689985796808, 2.493085594323929e-05, 0.0007311514345929028, 0.001504176645539701, 0.0024728747084736824, 0.004010016098618507, 0.014997394755482675]
DY+Jpsi, 10, 10, 2741      , 	[2.2, 2.3],		[5.0, 7.0],		[-0.014644089154899119, -0.004011787008494139, -0.0024592620320618157, -0.0014744430081918836, -0.0007074960158206522, 1.4053595123186824e-06, 0.0007145952549763024, 0.0015007401816546915, 0.0024545500054955482, 0.004006559029221535, 0.014997394755482675]
DY     , 8 , 10, 2243      , 	[2.2, 2.3],		[7.0, 10.0],		[-0.014222617261111736, -0.0029075543861836195, -0.0016230210894718766, -0.0007869208930060267, -6.77176212775521e-05, 0.0006712782778777182, 0.0015452266670763493, 0.002864648588001728, 0.014499124139547348]
Jpsi   , 8 , 10, 2007      , 	[2.2, 2.3],		[7.0, 10.0],		[-0.014924529008567331, -0.002907757647335529, -0.0015838161343708634, -0.0007187260198406875, 6.363724423863459e-06, 0.0007509483257308602, 0.00162936607375741, 0.0029807279352098703, 0.014778349548578262]
DY+Jpsi, 10, 10, 3400      , 	[2.2, 2.3],		[7.0, 10.0],		[-0.014924529008567331, -0.0033104680478572845, -0.002048951108008623, -0.0012389959301799536, -0.0006096261786296964, -3.0324763429234736e-05, 0.0005564826424233615, 0.0012062642490491269, 0.002020279411226511, 0.0033310684375464916, 0.014778349548578262]
DY     , 10, 10, 4031      , 	[2.2, 2.3],		[10.0, 14.0],		[-0.014749038964509964, -0.00287413178011775, -0.0017744378419592977, -0.0010987863643094897, -0.000541189918294549, -4.803947012987919e-05, 0.0004568705626297742, 0.0010093420278280973, 0.0016873273998498917, 0.0027975556440651417, 0.0143655426800251]
Jpsi   , 4 , 10, 2129      , 	[2.2, 2.3],		[10.0, 14.0],		[-0.011699415743350984, -0.0013606292195618153, 4.5908120227977633e-05, 0.0014896772336214779, 0.01463214959949255]
DY+Jpsi, 10, 10, 4883      , 	[2.2, 2.3],		[10.0, 14.0],		[-0.014749038964509964, -0.002882611006498337, -0.0017755753360688686, -0.0010860227048397064, -0.0005294867441989481, -3.2423980883322656e-05, 0.0004736750852316618, 0.001035085180774331, 0.0017268082592636347, 0.0028400211594998837, 0.01463214959949255]
DY     , 10, 10, 9322      , 	[2.2, 2.3],		[14.0, 20.0],		[-0.014076120220124722, -0.0025745979510247707, -0.0016127366106957197, -0.000994561123661697, -0.0005025966092944145, -5.7974008086603135e-05, 0.0003872640081681311, 0.0008690398535691202, 0.0014808073174208403, 0.00241227843798697, 0.013443471863865852]
Jpsi   , 2 , 10, 1769      , 	[2.2, 2.3],		[14.0, 20.0],		[-0.00947755202651024, 5.168121060705744e-05, 0.012507383711636066]
DY+Jpsi, 10, 10, 9676      , 	[2.2, 2.3],		[14.0, 20.0],		[-0.014076120220124722, -0.0025753374211490154, -0.0016127255512401462, -0.0009940440068021417, -0.0005005315179005265, -5.3661678975913674e-05, 0.00039182836189866066, 0.0008746135863475502, 0.0014879995724186301, 0.002419959520921111, 0.013443471863865852]
DY     , 10, 10, 15492     , 	[2.2, 2.3],		[20.0, 27.0],		[-0.014401236549019814, -0.0023595262318849564, -0.0014889980666339397, -0.0009259319049306214, -0.0004772606189362705, -7.19286545063369e-05, 0.0003381625283509493, 0.0007824495551176369, 0.0013308378402143717, 0.0021765977144241333, 0.01159734558314085]
Jpsi   , 2 , 10, 519       , 	[2.2, 2.3],		[20.0, 27.0],		[-0.0069879088550806046, 0.0001134448903030716, 0.0072909994050860405]
DY+Jpsi, 10, 10, 15596     , 	[2.2, 2.3],		[20.0, 27.0],		[-0.014401236549019814, -0.002358743455260992, -0.0014877261128276587, -0.0009246993577107787, -0.0004765967605635524, -7.087129779392853e-05, 0.00033916530082933605, 0.0007840758771635592, 0.0013327822089195251, 0.0021782354451715946, 0.01159734558314085]
DY     , 10, 10, 34273     , 	[2.2, 2.3],		[27.0, 38.0],		[-0.01311634760349989, -0.002183089964091778, -0.0013833055272698402, -0.0008671111427247524, -0.00045704536023549736, -7.639989780727774e-05, 0.00029961997643113136, 0.0007107860292308033, 0.0012111581163480878, 0.001970290206372738, 0.012189078144729137]
Jpsi   , 2 , 10, 175       , 	[2.2, 2.3],		[27.0, 38.0],		[-0.0047568599693477145, 0.00016512113506905735, 0.005812413524836303]
