all_eta_bins : [0.0, 0.2, 0.4, 0.6, 0.8, 1.0, 1.25, 1.5, 1.75, 2.0, 2.1, 2.2, 2.3, 2.4]
all_pT_bins  : [5.0, 7.0, 10.0, 14.0, 20.0, 27.0, 38.0, 50.0, 75.0, 100.0, 150.0, 200.0, 1000]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY+Jpsi, 12, 12, 8777      , 	[1.0, 1.25],		[10.0, 14.0],		[-0.014453803189098835, -0.002683805767446757, -0.00177344074472785, -0.0012047403724864125, -0.000759866728913039, -0.0003773868374992162, -1.2154732758062892e-05, 0.0003552375128492713, 0.0007446617819368839, 0.001183711108751595, 0.0017596516991034148, 0.0026498250663280487, 0.014838998205959797]
DY     , 12, 12, 19135     , 	[1.0, 1.25],		[14.0, 20.0],		[-0.014714040793478489, -0.0024313300382345915, -0.0016375116538256407, -0.001135517843067646, -0.0007308089989237487, -0.00037668031291104853, -4.123169128433801e-05, 0.00029050049488432705, 0.0006397599936462939, 0.0010306908516213298, 0.0015299401711672544, 0.0023239408619701862, 0.01478683203458786]
Jpsi   , 8 , 12, 2170      , 	[1.0, 1.25],		[14.0, 20.0],		[-0.010522536933422087, -0.001906991004943848, -0.001062297378666699, -0.0004860593180637808, 2.9665778129128743e-05, 0.0005315561429597436, 0.0011117857648059726, 0.0020147156901657577, 0.012845780700445177]
DY+Jpsi, 12, 12, 20582     , 	[1.0, 1.25],		[14.0, 20.0],		[-0.014714040793478489, -0.002427626634016633, -0.001634889398701489, -0.0011299586622044446, -0.0007261693826876581, -0.00037242163671180606, -3.616221874835901e-05, 0.0002955300151370466, 0.0006441142759285867, 0.001036380766890943, 0.00153823709115386, 0.0023356289602816105, 0.01478683203458786]
DY     , 12, 12, 39682     , 	[1.0, 1.25],		[20.0, 27.0],		[-0.014992139302194118, -0.002221084898337722, -0.0015053338138386607, -0.001037939335219562, -0.0006667077541351318, -0.0003404068702366203, -3.306824146420695e-05, 0.00027633344870992005, 0.0006017547566443682, 0.000970252905972302, 0.0014318976318463683, 0.0021413161884993315, 0.014650316908955574]
Jpsi   , 2 , 12, 2365      , 	[1.0, 1.25],		[20.0, 27.0],		[-0.007365105208009481, 1.5869978597038426e-05, 0.011846957728266716]
DY+Jpsi, 12, 12, 40077     , 	[1.0, 1.25],		[20.0, 27.0],		[-0.014992139302194118, -0.0022197540383785963, -0.0015042079612612724, -0.0010370401432737708, -0.0006662308005616069, -0.0003400087880436331, -3.2447347621200606e-05, 0.0002767998375929892, 0.0006019796128384769, 0.0009705135016702116, 0.001432071439921856, 0.0021420542616397142, 0.014650316908955574]
DY     , 12, 12, 109291    , 	[1.0, 1.25],		[27.0, 38.0],		[-0.014978303574025631, -0.002055418910458684, -0.0013990142615512013, -0.0009685016120783985, -0.0006251519080251455, -0.00032059720251709223, -3.0956463888287544e-05, 0.00025695381918922067, 0.0005600628792308271, 0.0009033299284055829, 0.001328130136243999, 0.001978676998987794, 0.014989586547017097]
Jpsi   , 2 , 12, 818       , 	[1.0, 1.25],		[27.0, 38.0],		[-0.007210235111415386, 4.600226748152636e-05, 0.008816570043563845]
DY+Jpsi, 12, 12, 109427    , 	[1.0, 1.25],		[27.0, 38.0],		[-0.014978303574025631, -0.002055293647572398, -0.0013989140279591084, -0.0009683839161880314, -0.0006251067388802767, -0.00032048040884546936, -3.081838076468557e-05, 0.0002570405777078122, 0.0005601283046416938, 0.0009033812093548477, 0.0013281588908284903, 0.0019787424243986607, 0.014989586547017097]
DY     , 12, 12, 168979    , 	[1.0, 1.25],		[38.0, 50.0],		[-0.014978645369410515, -0.0018917550332844257, -0.001284433645196259, -0.0008827559649944305, -0.0005577009287662804, -0.00026859695208258927, 7.17264856575639e-06, 0.00028225203277543187, 0.0005726957460865378, 0.000899677921552211, 0.001304274657741189, 0.001921660965308547, 0.014984834007918835]
Jpsi   , 2 , 12, 175       , 	[1.0, 1.25],		[38.0, 50.0],		[-0.007433665916323663, 0.00013296747056301686, 0.006090741138905287]
DY+Jpsi, 12, 12, 169008    , 	[1.0, 1.25],		[38.0, 50.0],		[-0.014978645369410515, -0.0018917159177362919, -0.0012843714794144034, -0.0008827215642668307, -0.0005576769472099841, -0.0002685750660020858, 7.1988210947893094e-06, 0.00028227249276824296, 0.0005727281677536666, 0.0008996986434794962, 0.0013042957289144397, 0.001921660965308547, 0.014984834007918835]
DY     , 12, 12, 67462     , 	[1.0, 1.25],		[50.0, 75.0],		[-0.014973531477153301, -0.0017659051809459925, -0.0011914568021893501, -0.0008105949964374304, -0.0005006419378332794, -0.00022418711159843951, 3.9655929867876694e-05, 0.0003035399131476879, 0.0005833508912473917, 0.0008981966529972851, 0.001286891521885991, 0.0018723927205428481, 0.014886011369526386]
Jpsi   , 2 , 12, 51        , 	[1.0, 1.25],		[50.0, 75.0],		[-0.0034563785884529352, 0.0002572296361904592, 0.0030992678366601467]
DY+Jpsi, 12, 12, 67471     , 	[1.0, 1.25],		[50.0, 75.0],		[-0.014973531477153301, -0.0017659051809459925, -0.0011914258357137442, -0.0008105579763650894, -0.0005006245919503272, -0.00022415287094190717, 3.9682610804447904e-05, 0.00030358435469679534, 0.0005833739996887743, 0.0008982150466181338, 0.0012869080528616905, 0.0018723916728049517, 0.014886011369526386]
DY     , 12, 12, 13206     , 	[1.0, 1.25],		[75.0, 100.0],		[-0.014071320183575153, -0.0016927281394600868, -0.0011459699599072337, -0.0007821243489161134, -0.0004813476116396487, -0.00021481014846358448, 3.894120891345665e-05, 0.0002939935075119138, 0.0005572280497290194, 0.0008542881696484983, 0.001223119325004518, 0.0017851449083536863, 0.014736191369593143]
Jpsi   , 2 , 12, 6         , 	[1.0, 1.25],		[75.0, 100.0],		[-0.002107009990140796, -0.0006588237592950463, 0.0010182829573750496]
DY+Jpsi, 12, 12, 13207     , 	[1.0, 1.25],		[75.0, 100.0],		[-0.014071320183575153, -0.0016927339602261782, -0.0011459699599072337, -0.0007821243489161134, -0.00048137939302250743, -0.0002148482744814828, 3.886400372721255e-05, 0.0002939227852039039, 0.0005571397487074137, 0.0008542517316527665, 0.0012230748543515801, 0.001785132335498929, 0.014736191369593143]
DY     , 12, 12, 5800      , 	[1.0, 1.25],		[100.0, 150.0],		[-0.009960436262190342, -0.001626939163543284, -0.0011059690732508898, -0.0007573635666631162, -0.00046271042083390057, -0.00020354718435555696, 4.890523632639088e-05, 0.0002951368223875761, 0.0005559877026826143, 0.0008505760342814028, 0.0012100740568712354, 0.0017456483328714967, 0.014538133516907692]
Jpsi   , 2 , 12, 3         , 	[1.0, 1.25],		[100.0, 150.0],		[-0.0026396356988698244, -0.0006868087803013622, 0.0008321690838783978]
DY+Jpsi, 12, 12, 5801      , 	[1.0, 1.25],		[100.0, 150.0],		[-0.009960436262190342, -0.001626939163543284, -0.001105962903238833, -0.0007573635666631162, -0.00046277124783955514, -0.0002036684163613245, 4.8828984290594235e-05, 0.00029500373057089746, 0.0005558580160140991, 0.0008503232966177166, 0.0012098902370780706, 0.001745624584145844, 0.014538133516907692]
DY     , 6 , 12, 2234      , 	[1.0, 1.25],		[150.0, 200.0],		[-0.012451983988285065, -0.001075105625204742, -0.0004169600724708289, 7.368507067440078e-05, 0.0005694499122910202, 0.0012164560612291098, 0.012586226686835289]
Jpsi   , 2 , 12, 1         , 	[1.0, 1.25],		[150.0, 200.0],		[-0.00027734370087273695, -0.0002773437008727342, 8.691510447533801e-05]
DY+Jpsi, 6 , 12, 2235      , 	[1.0, 1.25],		[150.0, 200.0],		[-0.012451983988285065, -0.0010743595194071531, -0.0004167008737567812, 7.427284435834736e-05, 0.0005694499122910202, 0.0012164560612291098, 0.012586226686835289]
DY     , 3 , 12, 2386      , 	[1.0, 1.25],		[200.0, 1000],		[-0.007845576852560043, -0.00043458989239297807, 0.0005454625934362411, 0.013937137089669704]
Jpsi   , -1, 12, 0         , 	[1.0, 1.25],		[200.0, 1000],		[None, None]
DY+Jpsi, 3 , 12, 2386      , 	[1.0, 1.25],		[200.0, 1000],		[-0.007845576852560043, -0.00043458989239297807, 0.0005454625934362411, 0.013937137089669704]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 3 , 12, 2379      , 	[1.25, 1.5],		[5.0, 7.0],		[-0.014485171064734459, -0.0010456085437908769, 0.0009042763849720359, 0.014680321328341961]
Jpsi   , 12, 12, 7821      , 	[1.25, 1.5],		[5.0, 7.0],		[-0.01474558562040329, -0.0035841732751578093, -0.0023563997820019718, -0.001600207295268774, -0.0010149505687877538, -0.0005121686845086515, -3.762592314160429e-05, 0.0004367352812550962, 0.0009466271731071174, 0.0015247592236846685, 0.002282632514834404, 0.0034895241260528564, 0.01488366350531578]
DY+Jpsi, 12, 12, 8416      , 	[1.25, 1.5],		[5.0, 7.0],		[-0.01474558562040329, -0.003591490909457207, -0.002361760940402746, -0.0016025413060560822, -0.001017374568618834, -0.0005160132423043251, -4.042968066642061e-05, 0.0004344705084804446, 0.000942799320910126, 0.0015208714175969362, 0.00227523734793067, 0.003483249107375741, 0.01488366350531578]
DY     , 12, 12, 2095      , 	[1.25, 1.5],		[7.0, 10.0],		[-0.014749767258763313, -0.003123744623735547, -0.0020880787633359432, -0.001429366529919207, -0.0009212031145580113, -0.0004931178409606218, -9.054875408764929e-05, 0.00030839149258099496, 0.0007465044618584216, 0.0012625815579667687, 0.0019022119231522083, 0.0029342370107769966, 0.014189591631293297]
Jpsi   , 12, 12, 6179      , 	[1.25, 1.5],		[7.0, 10.0],		[-0.014798314310610294, -0.0030967597849667072, -0.0020260915625840425, -0.0013601967366412284, -0.0008601398440077901, -0.0004252844664733857, -1.2387990864226595e-05, 0.0004014988371636719, 0.0008349511772394179, 0.0013398907613009214, 0.002005088608711958, 0.003049688413739205, 0.01437676977366209]
DY+Jpsi, 12, 12, 8274      , 	[1.25, 1.5],		[7.0, 10.0],		[-0.014798314310610294, -0.00310305948369205, -0.002043031854555011, -0.0013783241156488655, -0.0008746449602767825, -0.00044138310477137566, -3.4147793485317386e-05, 0.00037853282992728055, 0.0008137672557495534, 0.0013202591799199581, 0.001976785948500037, 0.003019987605512142, 0.01437676977366209]
DY     , 12, 12, 6341      , 	[1.25, 1.5],		[10.0, 14.0],		[-0.01488424837589264, -0.002839375054463744, -0.0018928458448499441, -0.0012962138280272484, -0.0008361809886991978, -0.00044330855598673224, -7.541615195805207e-05, 0.00029065125272609293, 0.0006739344098605216, 0.001116944826208055, 0.0016848683590069413, 0.0025832958053797483, 0.014732145704329014]
Jpsi   , 12, 12, 3295      , 	[1.25, 1.5],		[10.0, 14.0],		[-0.013310365378856659, -0.002745378063991666, -0.00182158884126693, -0.0012452680384740233, -0.0007928082486614585, -0.0003909605729859322, -7.289939730981133e-06, 0.00036386513966135686, 0.0007653125212527813, 0.001213044859468937, 0.0018109143711626532, 0.0027555443812161684, 0.014672218821942806]
DY+Jpsi, 12, 12, 9636      , 	[1.25, 1.5],		[10.0, 14.0],		[-0.01488424837589264, -0.0028065547812730074, -0.0018719666404649615, -0.0012779423268511891, -0.0008217674330808222, -0.0004252301878295839, -5.333632725523785e-05, 0.00031486505758948624, 0.0007056776667013763, 0.0011495811631903052, 0.0017265572678297758, 0.0026422024238854647, 0.014732145704329014]
DY     , 12, 12, 19857     , 	[1.25, 1.5],		[14.0, 20.0],		[-0.014851084910333157, -0.0025358041748404503, -0.0016825872007757425, -0.0011576602701097727, -0.0007513958844356239, -0.0003980678739026189, -6.256356573430821e-05, 0.0002716601884458214, 0.0006263767718337476, 0.001028656610287726, 0.001537457574158907, 0.0023515131324529648, 0.014997278340160847]
Jpsi   , 8 , 12, 2076      , 	[1.25, 1.5],		[14.0, 20.0],		[-0.014838741160929203, -0.0019921341445297003, -0.0010884100338444114, -0.0005079746479168534, 9.55737050389871e-06, 0.0005181589513085784, 0.0011163972085341813, 0.0019806160125881433, 0.013511931523680687]
DY+Jpsi, 12, 12, 21241     , 	[1.25, 1.5],		[14.0, 20.0],		[-0.014851084910333157, -0.0025302295107394453, -0.0016797800781205297, -0.0011533524375408888, -0.0007473624427802861, -0.0003934525011572987, -5.768322080257349e-05, 0.00027682894142344594, 0.0006321060936897993, 0.001034446177072823, 0.0015454648528248072, 0.0023622331209480762, 0.014997278340160847]
DY     , 12, 12, 37876     , 	[1.25, 1.5],		[20.0, 27.0],		[-0.014996393583714962, -0.0022977758198976517, -0.0015368867898359895, -0.0010611664038151503, -0.0006896338891237974, -0.00035960637615062296, -4.8741720092948526e-05, 0.0002617838326841593, 0.0005910645122639835, 0.0009607202955521643, 0.0014274314744397998, 0.002153925132006407, 0.014965308830142021]
Jpsi   , 2 , 12, 2281      , 	[1.25, 1.5],		[20.0, 27.0],		[-0.012053085491061209, 6.86808198224753e-05, 0.011222298257052898]
DY+Jpsi, 12, 12, 38256     , 	[1.25, 1.5],		[20.0, 27.0],		[-0.014996393583714962, -0.0022966228425502777, -0.00153570796828717, -0.0010602499824017286, -0.0006887619383633138, -0.0003585096274036914, -4.753608300234191e-05, 0.00026307717780582607, 0.0005922952550463378, 0.0009621562203392386, 0.0014285020297393203, 0.002154506742954254, 0.014965308830142021]
DY     , 12, 12, 97853     , 	[1.25, 1.5],		[27.0, 38.0],		[-0.01496838591992855, -0.00209601316601038, -0.0014158023986965418, -0.0009801670676097274, -0.0006335352663882077, -0.00032680787262506783, -3.735546852112748e-05, 0.0002499908150639385, 0.0005553714581765234, 0.0008991358336061239, 0.0013266766909509897, 0.001983417198061943, 0.014994190074503422]
Jpsi   , 2 , 12, 764       , 	[1.25, 1.5],		[27.0, 38.0],		[-0.008149378933012486, 6.373287760652603e-05, 0.008221376687288284]
DY+Jpsi, 12, 12, 97981     , 	[1.25, 1.5],		[27.0, 38.0],		[-0.01496838591992855, -0.002095842966809869, -0.0014157069381326437, -0.0009800371481105685, -0.0006334410281851888, -0.0003267215215601027, -3.720966196851805e-05, 0.0002501688140910119, 0.0005554680246859789, 0.0008991749491542578, 0.0013268210459500551, 0.00198359414935112, 0.014994190074503422]
DY     , 12, 12, 152219    , 	[1.25, 1.5],		[38.0, 50.0],		[-0.0149685675278306, -0.001899388968013227, -0.0012872079387307167, -0.0008827759884297848, -0.0005594748072326183, -0.0002717137977015227, 2.011734977713786e-06, 0.00027605792274698615, 0.0005643555196002126, 0.0008900523534975946, 0.0012951475800946355, 0.0019148967694491148, 0.014973004348576069]
Jpsi   , 2 , 12, 156       , 	[1.25, 1.5],		[38.0, 50.0],		[-0.0042747119441628465, 0.00018405249284114689, 0.0051552122458815575]
DY+Jpsi, 12, 12, 152245    , 	[1.25, 1.5],		[38.0, 50.0],		[-0.0149685675278306, -0.0018993141129612923, -0.001287186285480857, -0.0008827237179502845, -0.0005594438407570124, -0.000271691387752071, 2.030726363955182e-06, 0.000276085949735716, 0.0005643852055072784, 0.0008900785469450057, 0.0012951812241226435, 0.0019149251747876406, 0.014973004348576069]
DY     , 12, 12, 61244     , 	[1.25, 1.5],		[50.0, 75.0],		[-0.014926521107554436, -0.0017527902964502573, -0.0011830192524939775, -0.0008032594341784716, -0.0004951568553224206, -0.00022167910356074572, 3.7859659641981125e-05, 0.0002992314985021949, 0.0005757833132520318, 0.000884641835000366, 0.001268124906346202, 0.0018522327300161123, 0.014979896135628223]
Jpsi   , 2 , 12, 48        , 	[1.25, 1.5],		[50.0, 75.0],		[-0.0038404301740229134, 0.00010582385584712027, 0.0037446608766913405]
DY+Jpsi, 12, 12, 61252     , 	[1.25, 1.5],		[50.0, 75.0],		[-0.014926521107554436, -0.0017528169555589557, -0.001183020300231874, -0.0008032293408177793, -0.0004951443988829851, -0.0002216561697423458, 3.787477544392459e-05, 0.00029924121918156743, 0.0005757833132520318, 0.0008846398559398949, 0.0012681134976446629, 0.0018522802274674177, 0.014979896135628223]
DY     , 12, 12, 11780     , 	[1.25, 1.5],		[75.0, 100.0],		[-0.014928440563380718, -0.0016717234393581748, -0.0011348696425557137, -0.0007769290241412818, -0.0004854006110690534, -0.00022038562747184187, 2.726776983763557e-05, 0.00027252358268015087, 0.000538158230483532, 0.0008310484699904919, 0.0011922710109502077, 0.0017405909020453691, 0.014870261773467064]
Jpsi   , 2 , 12, 6         , 	[1.25, 1.5],		[75.0, 100.0],		[-0.0010784625774249434, -0.0006439982680603862, 0.0022505417000502352]
DY+Jpsi, 12, 12, 11781     , 	[1.25, 1.5],		[75.0, 100.0],		[-0.014928440563380718, -0.0016716811805963516, -0.0011347491526976228, -0.0007769290241412818, -0.00048542904551140964, -0.0002204107295256108, 2.7171889087185264e-05, 0.0002725010854192078, 0.0005381271475926042, 0.0008309778640978038, 0.0011922710109502077, 0.0017405909020453691, 0.014870261773467064]
DY     , 12, 12, 5106      , 	[1.25, 1.5],		[100.0, 150.0],		[-0.014874297194182873, -0.0016032413113862276, -0.0010904311202466488, -0.0007407693192362785, -0.0004520342918112874, -0.0001954550389200449, 4.2380426748422906e-05, 0.00028060167096555233, 0.0005361197399906814, 0.0008161425357684493, 0.0011733805295079947, 0.001702550915069878, 0.014480974525213242]
Jpsi   , 2 , 12, 0         , 	[1.25, 1.5],		[100.0, 150.0],		[-0.0023221871815622087, -0.0023221871815621853, -0.0023221871815621853]
DY+Jpsi, 12, 12, 5106      , 	[1.25, 1.5],		[100.0, 150.0],		[-0.014874297194182873, -0.0016033535357564688, -0.0010905674425885081, -0.0007407697266899049, -0.0004520624061115086, -0.0001954550389200449, 4.2380426748422906e-05, 0.00028060167096555233, 0.0005361197399906814, 0.0008161425357684493, 0.0011733805295079947, 0.001702550915069878, 0.014480974525213242]
DY     , 6 , 12, 2000      , 	[1.25, 1.5],		[150.0, 200.0],		[-0.006491540465503931, -0.0010691194329410791, -0.00042726972606033087, 5.927664824412204e-05, 0.0005418278742581606, 0.0011731601553037763, 0.011150401085615158]
Jpsi   , -1, 12, 0         , 	[1.25, 1.5],		[150.0, 200.0],		[None, None]
DY+Jpsi, 6 , 12, 2000      , 	[1.25, 1.5],		[150.0, 200.0],		[-0.006491540465503931, -0.0010691194329410791, -0.00042726972606033087, 5.927664824412204e-05, 0.0005418278742581606, 0.0011731601553037763, 0.011150401085615158]
DY     , 3 , 12, 2086      , 	[1.25, 1.5],		[200.0, 1000],		[-0.010238021612167358, -0.00045959450653754175, 0.0005110162892378867, 0.011308014392852783]
Jpsi   , -1, 12, 0         , 	[1.25, 1.5],		[200.0, 1000],		[None, None]
DY+Jpsi, 3 , 12, 2086      , 	[1.25, 1.5],		[200.0, 1000],		[-0.010238021612167358, -0.00045959450653754175, 0.0005110162892378867, 0.011308014392852783]

sample , bins_found, bins_wanted, muons_per_reg, 	eta_range,		pT_range,		q*d0_bins
DY     , 4 , 12, 2472      , 	[1.5, 1.75],		[5.0, 7.0],		[-0.014683384448289871, -0.00158418039791286, -3.3839365642052144e-05, 0.0016258282121270895, 0.01490934006869793]
Jpsi   , 12, 12, 7768      , 	[1.5, 1.75],		[5.0, 7.0],		[-0.014976296573877338, -0.0036923205479979524, -0.002379469340667129, -0.0015982106560841205, -0.0009945506462827325, -0.00047757531865499925, 1.7469681552029215e-05, 0.00051006959984079, 0.001035621273331344, 0.0016472730785608294, 0.002427743747830391, 0.003736260579898953, 0.014968840405344963]
DY+Jpsi, 12, 12, 8592      , 	[1.5, 1.75],		[5.0, 7.0],		[-0.014976296573877338, -0.003697672626003623, -0.0023750772234052424, -0.0015970886452123525, -0.0009980673203244805, -0.0004804723139386624, 1.2056677405780647e-05, 0.0005033393972553314, 0.0010312204249203203, 0.0016459550242871044, 0.002427893690764904, 0.0037358740810304884, 0.014968840405344963]
DY     , 12, 12, 2651      , 	[1.5, 1.75],		[7.0, 10.0],		[-0.014401329681277275, -0.0031336594838649035, -0.0020657230634242296, -0.001391422119922936, -0.0008759865304455161, -0.00043518442544154823, -3.233326424378902e-05, 0.00039572917739860713, 0.0008523580618202686, 0.0013605243293568492, 0.002034728415310383, 0.0031276396475732327, 0.014553124085068703]
Jpsi   , 12, 12, 6002      , 	[1.5, 1.75],		[7.0, 10.0],		[-0.014538939110934734, -0.0031607511918991804, -0.0020632511004805565, -0.0013840415049344301, -0.0008499074028804897, -0.00039300008211284876, 2.104744999087416e-05, 0.00044185257866047323, 0.0008937747916206716, 0.001415854669176042, 0.0021010292693972588, 0.003214465454220772, 0.0149911567568779]
DY+Jpsi, 12, 12, 8654      , 	[1.5, 1.75],		[7.0, 10.0],		[-0.014538939110934734, -0.0031518193427473307, -0.002064293250441551, -0.0013871410628780723, -0.0008579742861911653, -0.0004069644492119551, 7.048908173601376e-06, 0.00042717091855593026, 0.0008807940175756812, 0.0013984362594783304, 0.002079957164824009, 0.0031870040111243725, 0.0149911567568779]
DY     , 12, 12, 7447      , 	[1.5, 1.75],		[10.0, 14.0],		[-0.014952296391129494, -0.002797514433041215, -0.001829654909670353, -0.001249188557267189, -0.0007956948829814792, -0.0004037341568619013, -3.562499477993697e-05, 0.0003307645965833217, 0.0007212189375422895, 0.0011685759527608752, 0.0017373289447277784, 0.0026849950663745403, 0.014196845702826977]
Jpsi   , 12, 12, 3185      , 	[1.5, 1.75],		[10.0, 14.0],		[-0.014040098525583744, -0.0027204053476452827, -0.0017799761844798925, -0.0011909244349226356, -0.0007340128067880869, -0.00034302548738196487, 2.7640286134555932e-05, 0.00039251474663615227, 0.0007926024845801294, 0.0012429954949766395, 0.0018401528941467407, 0.0027965593617409468, 0.013917996548116207]
DY+Jpsi, 12, 12, 10632     , 	[1.5, 1.75],		[10.0, 14.0],		[-0.014952296391129494, -0.0027755603659898043, -0.0018154000863432884, -0.0012340653920546174, -0.0007771817035973072, -0.0003855183895211667, -1.688136217126157e-05, 0.00034784924355335534, 0.000740714545827359, 0.0011896468931809068, 0.0017667048377916215, 0.0027201382908970118, 0.014196845702826977]
DY     , 12, 12, 20294     , 	[1.5, 1.75],		[14.0, 20.0],		[-0.014957195147871971, -0.0024635272566229105, -0.0016346387565135956, -0.0011197671992704272, -0.0007121785311028361, -0.00035600137198343873, -2.2359505237545818e-05, 0.0003072007675655186, 0.0006576136220246553, 0.0010592967737466097, 0.00156664929818362, 0.0023786278907209635, 0.01405408326536417]
Jpsi   , 7 , 12, 2255      , 	[1.5, 1.75],		[14.0, 20.0],		[-0.01337455864995718, -0.0017821263754740355, -0.0009071018430404363, -0.00026637481641955674, 0.00028324560844339436, 0.0009276127093471588, 0.001797097153030336, 0.010733168572187424]
DY+Jpsi, 12, 12, 21610     , 	[1.5, 1.75],		[14.0, 20.0],		[-0.014957195147871971, -0.0024597723968327045, -0.0016324612079188228, -0.0011175128165632486, -0.000709997140802443, -0.00035423977533355355, -1.9730279745999724e-05, 0.00030867120949551463, 0.0006598392501473427, 0.0010627800365909934, 0.0015703866956755519, 0.0023820262867957354, 0.01405408326536417]
DY     , 12, 12, 36875     , 	[1.5, 1.75],		[20.0, 27.0],		[-0.014644834212958813, -0.002235865918919444, -0.0014910249738022685, -0.0010257512331008911, -0.0006560097099281847, -0.00032971319160424173, -2.3627349946764298e-05, 0.00028245008434168994, 0.0006088789086788893, 0.000973174930550158, 0.0014356868341565132, 0.0021500715520232916, 0.0143353920429945]
Jpsi   , 2 , 12, 2069      , 	[1.5, 1.75],		[20.0, 27.0],		[-0.009591607376933098, 5.4875628848094486e-05, 0.008982601575553417]
DY+Jpsi, 12, 12, 37220     , 	[1.5, 1.75],		[20.0, 27.0],		[-0.014644834212958813, -0.002235132735222578, -0.001490520080551505, -0.0010253428481519222, -0.0006556060980074108, -0.00032916644704528153, -2.296895945619326e-05, 0.0002835771592799574, 0.0006100833415985107, 0.0009741235408000648, 0.0014374925522133708, 0.0021516503766179085, 0.0143353920429945]
DY     , 12, 12, 90500     , 	[1.5, 1.75],		[27.0, 38.0],		[-0.014686336740851402, -0.0020511841867119074, -0.0013794363476336002, -0.000951531226746738, -0.0006097328150644898, -0.00030643766513094306, -1.930553662532475e-05, 0.0002656789729371667, 0.0005674614221788943, 0.0009071793174371123, 0.001331185456365347, 0.0019899311009794474, 0.014245981350541115]
Jpsi   , 2 , 12, 694       , 	[1.5, 1.75],		[27.0, 38.0],		[-0.0067500732839107505, 5.030690590501763e-05, 0.005966839380562306]
DY+Jpsi, 12, 12, 90615     , 	[1.5, 1.75],		[27.0, 38.0],		[-0.014686336740851402, -0.002051043324172497, -0.00137931271456182, -0.000951387279201299, -0.0006095070275478065, -0.00030637584859505296, -1.920030263136141e-05, 0.0002657705044839531, 0.0005675440770573914, 0.0009074153495021164, 0.0013314097886905074, 0.0019901145715266466, 0.014245981350541115]
DY     , 12, 12, 135712    , 	[1.5, 1.75],		[38.0, 50.0],		[-0.01491539180278778, -0.0018857321701943874, -0.0012731255264952779, -0.0008733532740734518, -0.0005508653703145683, -0.00026639888528734446, 4.660883405449567e-06, 0.00027702742954716086, 0.0005633226246573031, 0.0008844632538966835, 0.0012850078055635095, 0.0018969903467223048, 0.014657230116426945]
Jpsi   , 2 , 12, 144       , 	[1.5, 1.75],		[38.0, 50.0],		[-0.0060081183910369864, -0.00023338269966188818, 0.005139357876032591]
DY+Jpsi, 12, 12, 135736    , 	[1.5, 1.75],		[38.0, 50.0],		[-0.01491539180278778, -0.0018857766408473253, -0.0012731378665193915, -0.0008733702707104385, -0.0005509154289029539, -0.000266451999777928, 4.6232607928686775e-06, 0.0002769957354757935, 0.0005632777465507388, 0.0008844386320561171, 0.0012849641498178244, 0.0018969631055369973, 0.014657230116426945]
DY     , 12, 12, 54536     , 	[1.5, 1.75],		[50.0, 75.0],		[-0.013692887499928474, -0.0017523274291306734, -0.0011881085811182857, -0.0008127852925099432, -0.0005057081580162048, -0.00023358642647508532, 2.5751352950464934e-05, 0.00028481270419433713, 0.0005593242240138352, 0.0008665304630994797, 0.0012462364975363016, 0.0018236259929835796, 0.014865639619529247]
Jpsi   , 2 , 12, 37        , 	[1.5, 1.75],		[50.0, 75.0],		[-0.004043708089739084, 0.00017144292360171676, 0.0044236164540052405]
DY+Jpsi, 12, 12, 54542     , 	[1.5, 1.75],		[50.0, 75.0],		[-0.013692887499928474, -0.0017524275463074446, -0.0011881116079166532, -0.0008128246990963817, -0.0005057161906734109, -0.00023358642647508532, 2.5761028155102395e-05, 0.0002848237636499107, 0.0005593533860519528, 0.0008665304630994797, 0.001246243598870933, 0.0018236429896205664, 0.014865639619529247]
DY     , 12, 12, 10318     , 	[1.5, 1.75],		[75.0, 100.0],		[-0.010335455648601055, -0.001663376111537218, -0.0011350299464538693, -0.000775843218434602, -0.00048197252908721566, -0.00022100367641542107, 2.5664869099273346e-05, 0.0002714490401558578, 0.0005317457253113389, 0.000824450165964663, 0.0011792283039540052, 0.0017046863213181496, 0.010198169387876987]
Jpsi   , 2 , 12, 5         , 	[1.5, 1.75],		[75.0, 100.0],		[-0.0024058823473751545, 0.00037594433524645865, 0.0015873040538281202]
DY+Jpsi, 12, 12, 10319     , 	[1.5, 1.75],		[75.0, 100.0],		[-0.010335455648601055, -0.0016636576037853956, -0.0011350299464538693, -0.0007757679559290409, -0.00048196318675763905, -0.00022098212502896786, 2.5706860469654202e-05, 0.00027153422706760466, 0.0005317761097103357, 0.0008244910277426243, 0.0011791856959462166, 0.0017046852735802531, 0.010198169387876987]
DY     , 12, 12, 4417      , 	[1.5, 1.75],		[100.0, 150.0],		[-0.0077274092473089695, -0.0016223920974880457, -0.0010926566319540143, -0.0007503792294301093, -0.0004704285820480436, -0.00021504747564904392, 2.259196844534017e-05, 0.0002570175565779209, 0.0005111744976602495, 0.000800485082436353, 0.001143849454820156, 0.0016609281301498413, 0.01132197305560112]
Jpsi   , 2 , 12, 1         , 	[1.5, 1.75],		[100.0, 150.0],		[-0.0006177378818392815, -0.0006177378818392754, 0.0006157203461043537]
